title,runtime,release_year
The Killers,93.0,1964
Nemesis,94.0,1992
Is It College Yet?,90.0,2002
Champion,81.0,2005
"Now You See Him, Now You Don't",88.0,1972
Mary and Max,92.0,2009
And Starring Pancho Villa as Himself,112.0,2003
As Melhores Coisas do Mundo,100.0,2010
Barabbas,137.0,1961
Bad Influence,99.0,1990
"I Want a Dog for Christmas, Charlie Brown",49.0,2003
The Girl Who Played with Fire,129.0,2009
Rude Awakening,98.0,1989
The Endless Summer 2,109.0,1994
We Have Only One Life,111.0,1958
On the Run,117.0,2002
Inspector Blunder,100.0,1980
Sheena,117.0,1984
The Man from Snowy River,104.0,1982
The Temptations,175.0,1998
The Maiden Heist,91.0,2009
Joseph and the Amazing Technicolor Dreamcoat,76.0,1999
Happy Campers,94.0,2001
Dead & Buried,94.0,1981
Matewan,132.0,1987
Phileine Says Sorry,95.0,2003
Goemon,128.0,2009
Seventh Moon,87.0,2008
Scanners II: The New Order,104.0,1991
Dolls,77.0,1987
Powaqqatsi,99.0,1988
Minnie and Moskowitz,115.0,1971
Flight of Fury,98.0,2007
Masked and Anonymous,112.0,2003
Final Flight of the Osiris,9.0,2003
House of D,97.0,2005
The Final Inquiry,112.0,2006
The Titfield Thunderbolt,84.0,1953
Big Deal on Madonna Street,106.0,1958
Splinterheads,94.0,2009
Bag Boy,94.0,2007
The Dark Lurking,96.0,2010
The Hill,123.0,1965
Kiss Me Again,103.0,2006
Bodysong,83.0,2003
Emmanuelle,89.0,1974
Away with Words,90.0,1999
Chasers,102.0,1994
C.S.A.: The Confederate States of America,89.0,2004
Nightmare Man,89.0,2006
K-20: The Fiend with Twenty Faces,137.0,2008
The Shepherd: Border Patrol,95.0,2008
Apartment 1303,94.0,2007
Cirque du Freak: The Vampire's Assistant,109.0,2009
The Time Traveler's Wife,107.0,2009
Stag Night,84.0,2008
Ajami,120.0,2009
A.R.O.G.,127.0,2008
The Avengers,143.0,2012
The Brink's Job,104.0,1978
Doogal,85.0,2006
A Diva's Christmas Carol,120.0,2000
Did You Hear About the Morgans?,103.0,2009
Joe Rogan: Live,58.0,2006
Robert Newman's History of Oil,46.0,2006
The Black Shield Of Falworth,99.0,1954
Zatôichi Meets the One-Armed Swordsman,94.0,1971
Holiday in Handcuffs,120.0,2007
Louis C.K.: Shameless,57.0,2007
7/G Rainbow Colony,185.0,2004
Pretty Ugly People,99.0,2009
The Little Shop of Horrors,70.0,1960
The Razor's Edge,129.0,1984
The Age of Stupid,92.0,2009
Asylum,99.0,2005
Fish Tank,123.0,2009
"South of Heaven, West of Hell",104.0,2000
Coco Chanel,139.0,2008
Beethoven's 3rd,99.0,2000
Beethoven's 5th,91.0,2003
"Look, Up in the Sky: The Amazing Story of Superman",115.0,2006
Partly Cloudy,5.0,2009
Born Yesterday,103.0,1950
Jack the Ripper,182.0,1988
Passing Strange,135.0,2009
Demonlover,121.0,2002
Scar,90.0,2007
The Enemies of Reason,96.0,2007
The Lineup,86.0,1958
"The Long, Long Trailer",96.0,1954
Ad Fundum,98.0,1993
Hurlyburly,122.0,1998
Undefeatable,90.0,1993
Into the Sun,97.0,2005
Just One of the Guys,100.0,1985
All the Invisible Children,124.0,2005
The Land Before Time X: The Great Longneck Migration,84.0,2003
The Land Before Time XI: Invasion of the Tinysauruses,82.0,2005
Loose Cannons,94.0,1990
Slaughterhouse-Five,104.0,1972
Sour Grapes,91.0,1998
Yatterman,119.0,2009
Mars Needs Women,83.0,1967
Radiant City,93.0,2007
Our Daily Bread,92.0,2006
Examined Life,87.0,2008
The Narrows,107.0,2008
Carry On Follow That Camel,95.0,1967
Carry On Henry,89.0,1971
Carry On Loving,88.0,1970
Carry On Matron,87.0,1972
Steel Toes,0.0,2006
Raise the Titanic,115.0,1980
The Waiting Room,110.0,2007
The Creeping Unknown,82.0,1955
Manufactured Landscapes,90.0,2006
Get Real,108.0,1998
Fraternity Vacation,94.0,1985
American Pimp,87.0,1999
Dug's Special Mission,5.0,2009
Conversations with God,109.0,2006
All The Best,144.0,2009
Aloha Scooby-Doo!,70.0,2005
Atomic Twister,85.0,2002
Bee Season,104.0,2005
Blind Horizon,99.0,2003
Chasing Papi,80.0,2003
The Detonator,91.0,2006
Dinner with Friends,94.0,2001
Dance 'Til Dawn,100.0,1988
"Maria, ihm schmeckt's nicht!",92.0,2009
The Mad,83.0,2007
Phantom Pain,97.0,2009
Ghost Story,110.0,1981
The Turning,87.0,1992
Den ofrivillige golfaren,107.0,1991
Hälsoresan,105.0,1999
Wishcraft,102.0,2002
The Fountainhead,114.0,1949
The Consequences of Love,100.0,2004
What the Bleep! Down the Rabbit Hole,156.0,2006
The Car,96.0,1977
The Sacrifice,149.0,1986
A Detective Story,10.0,2003
Cats Don't Dance,75.0,1997
The Open Road,90.0,2009
Bamboozled,135.0,2000
Jim Carrey: Unnatural Act,45.0,1991
River Queen,114.0,2005
The Eye 2,95.0,2004
Beyond,13.0,2003
Fatal Contact: Bird Flu in America,83.0,2006
Disney's American Legends,58.0,2001
Bird,161.0,1988
White Wedding,93.0,2009
Razortooth,92.0,2007
An Education,100.0,2009
Viper In The Fist,100.0,2004
Love and the City,88.0,2009
Tom and Jerry: A Nutcracker Tale,46.0,2007
"Puff, Puff, Pass",94.0,2006
Trekkies 2,93.0,2004
Addicted to Plastic,85.0,2008
Lost in the Barrens,91.0,1990
Above Suspicion,95.0,1995
Johan Falk: The Outlaws,94.0,2009
Johan Falk: Operation Näktergal,90.0,2009
The Toughest Man in the World,120.0,1984
Short Time,97.0,1990
Harrison Bergeron,99.0,1995
K2,102.0,1991
Agnes of God,98.0,1985
A Far Off Place,100.0,1993
Miracle Mile,87.0,1989
The Entity,125.0,1982
Secret Admirer,90.0,1985
Sweeney Todd: The Demon Barber of Fleet Street,140.0,1982
Six-String Samurai,91.0,1998
Bobby Jones: Stroke of Genius,120.0,2004
Hud,112.0,1963
Iceman,100.0,1984
Time After Time,112.0,1979
The Conqueror,111.0,1956
Dragon Ball Z: Cooler's Revenge,48.0,1991
The Art of War III: Retribution,88.0,2009
Stoic,87.0,2009
Iron Will,108.0,1994
Nothing Funny,95.0,1996
Psy II: Ostatnia krew,100.0,1994
Going Berserk,85.0,1983
The Idiot,166.0,1951
Blast,92.0,2004
Private Parts,87.0,1972
Buster,102.0,1988
Jimmy Carr: Telling Jokes,90.0,2009
In Tranzit,113.0,2007
Scooby-Doo Meets the Boo Brothers,94.0,1987
Subspecies,83.0,1991
A,136.0,1998
Between the Folds,56.0,2008
A Knight in Camelot,90.0,1998
Air Bud: Spikes Back,87.0,2003
Angels in the Outfield,102.0,1994
Magic Man,90.0,2009
True Stories,90.0,1986
Wolvesbayne,87.0,2009
Cow Belles,90.0,2006
Julie & Julia,123.0,2009
Black Dynamite,90.0,2009
The Ten Commandments,136.0,1923
Mr. Deeds Goes to Town,115.0,1936
Something Wicked This Way Comes,95.0,1983
Nora Roberts' Carolina Moon,95.0,2007
The Gnome-Mobile,85.0,1967
Hidden,95.0,2009
Seven Days,125.0,2007
The Octagon,104.0,1980
Disorderlies,86.0,1987
Ajab Prem Ki Ghazab Kahani,150.0,2009
Leonard Part 6,85.0,1987
They Call Me Bruce?,85.0,1982
Piranha,94.0,1978
Santa Buddies,88.0,2009
August Underground's Mordum,77.0,2003
Eternity and a Day,137.0,1998
The Memory Of A Killer,123.0,2003
Crash and Burn,0.0,1990
Holiday Affair,87.0,1949
Offspring,100.0,2009
Ink,106.0,2009
Viva,120.0,2007
Death Wish 3,92.0,1985
Dark Mirror,86.0,2007
Love Hurts,95.0,2009
The Black Stallion Returns,103.0,1983
Medicine for Melancholy,88.0,2008
Minor Details,86.0,2009
Overheard,100.0,2009
Happenstance,90.0,2000
The Young Americans,103.0,1993
April Fool's Day,89.0,1986
Kid's Story,15.0,2003
Bio Zombie,94.0,1998
The Twelve Chairs,94.0,1970
Burial Ground,85.0,1981
City of the Living Dead,93.0,1980
Rise of the Gargoyles,94.0,2009
Ebola Syndrome,98.0,1996
Messiah of Evil,90.0,1973
Night of the Demons,90.0,1988
Night of the Demons 2,96.0,1994
Winnie the Pooh and a Day for Eeyore,25.0,1983
Night Of The Living Dead 3D,80.0,2007
Return of the Living Dead Part II,89.0,1988
Return of the Living Dead: Necropolis,88.0,2005
The Deep End,101.0,2001
Return of the Living Dead: Rave to the Grave,86.0,2005
Head Over Heels,86.0,2001
Zombies! Zombies! Zombies!,82.0,2008
Prancer,99.0,1989
The New Country,128.0,2000
Program,7.0,2003
World Record,10.0,2003
The Wiz,134.0,1978
Magic in the Water,98.0,1995
Dead Air,90.0,2009
Bring on the Night,97.0,1985
Gunga Din,117.0,1939
Eagles Over London,100.0,1969
The Egyptian,139.0,1954
Michael Jordan to the Max,46.0,2000
Paper Soldiers,88.0,2002
"Nick Swardson: Seriously, Who Farted?",59.0,2009
Ghosts of the Abyss,92.0,2003
The Heart of Me,96.0,2002
Sophie's Revenge,107.0,2009
Kickboxer 2:  The Road Back,89.0,1991
Gates of Heaven,85.0,1978
The Great Happiness Space: Tale of an Osaka Love Thief,78.0,2006
Hanky Panky,110.0,1982
Friends of God: A Road Trip with Alexandra Pelosi,56.0,2007
Black Ice,107.0,2007
Eddie and the Cruisers II: Eddie Lives!,104.0,1989
State Property,88.0,2002
Death of a Dynasty,92.0,2005
Mogambo,115.0,1953
The Flamingo Kid,100.0,1984
Harrison's Flowers,130.0,2000
Pygmalion,96.0,1938
Leatherface: Texas Chainsaw Massacre III,81.0,1990
The Beatles: The First U.S. Visit,132.0,1991
The Alien Saga,108.0,2002
The Dead Next Door,84.0,1989
Alexander: The Neva Battle,110.0,2008
The Last Horror Movie,76.0,2004
The Life and Death of Colonel Blimp,163.0,1943
2:22,104.0,2008
The American Mall,100.0,2008
Le Deuxième Souffle,150.0,1966
Le Donk & Scor-zay-zee,71.0,2009
Still Walking,114.0,2008
Distance,132.0,2001
Air Doll,125.0,2009
Transmorphers,86.0,2007
Can Mr. Smith Get to Washington Anymore?,82.0,2006
Homeward Bound II: Lost in San Francisco,89.0,1996
Zombie Honeymoon,83.0,2004
A Taste of Honey,100.0,1961
Tales from the Hood,98.0,1995
Deadline,89.0,2009
Mr. Canton and Lady Rose,127.0,1989
Cat Soup,34.0,2001
Junkers Come Here,103.0,1995
Bloodsport II,90.0,1996
The Willies,92.0,1990
Wuthering Heights,105.0,1992
"Fast, Cheap & Out of Control",83.0,1997
Night of the Demon,95.0,1957
Flower Drum Song,133.0,1961
Evil Roy Slade,97.0,1972
Pauline & Paulette,78.0,2001
Far Out Man,81.0,1990
Ballast,96.0,2008
The Four Seasons,107.0,1981
20th Century Boys - Chapter 2: The Last Hope,0.0,2009
Bill Hicks: Revelations,60.0,1993
Are You Scared?,79.0,2006
Unnaipol Oruvan,120.0,2009
Kung Fu Chefs,92.0,2009
Six Shooter,27.0,2004
Love & Sex,82.0,2000
Shorts,89.0,2009
Transylvania 6-5000,93.0,1985
Beyond a Reasonable Doubt,105.0,2009
The Banishment,157.0,2007
My Boy Jack,93.0,2007
Jude,123.0,1996
Charlie Chan at the Olympics,71.0,1937
Awesome; I Fuckin' Shot That!,90.0,2006
Mutants,90.0,2008
The Marc Pease Experience,84.0,2009
The Stepfather,89.0,1987
George Carlin: Doin' it Again,60.0,1990
George Carlin: Jammin' in New York,59.0,1992
Screwballs,80.0,1983
Drowning Mona,96.0,2000
Bye Bye Birdie,112.0,1963
The Crazy Life,90.0,2008
Komodo,90.0,1999
Anne Of Green Gables: The Continuing Story,180.0,2000
Love Finds A Home,88.0,2009
Paper Heart,88.0,2009
Janky Promoters,85.0,2009
The Last Picture Show,118.0,1971
The Mirror Has Two Faces,126.0,1996
The Sun Also Rises,130.0,1957
Leap Year,100.0,2010
Crazy Heart,112.0,2009
Teen Witch,94.0,1989
The Concert,119.0,2009
The Caveman's Valentine,105.0,2001
Annie Get Your Gun,107.0,1950
Deterrence,101.0,2000
Live!,96.0,2007
For the Boys,138.0,1991
Masterminds,106.0,1997
Darling,94.0,2007
This Is My Father,119.0,1999
Evil Ed,93.0,1995
Come and See,142.0,1985
I Spit on Your Grave,101.0,1978
Squirm,92.0,1976
Saint Ralph,95.0,2004
Borsalino,126.0,1970
Crooks in Clover,105.0,1963
Seven Minutes,102.0,2009
I as in Icarus,120.0,1979
Article 99,100.0,1992
Under the Salt,0.0,2008
Four Shades of Brown,192.0,2004
The Last Seduction,110.0,1994
Year of the Jellyfish,110.0,1984
The Hound of the Baskervilles,90.0,2000
Pushing Hands,105.0,1992
Cannery Row,120.0,1982
I'm Not Scared,108.0,2003
The Gumball Rally,105.0,1976
Yes,100.0,2005
P.S.,97.0,2004
Escape from Sobibor,143.0,1987
The Masque of the Red Death,90.0,1964
Hysteria: The Def Leppard Story,90.0,2001
The Echo,96.0,2008
Dutch,107.0,1991
Wondrous Oblivion,106.0,2004
Hellsinki,133.0,2009
The Silent Partner,106.0,1978
Imaginary Heroes,111.0,2004
The True Story of Puss 'n Boots,82.0,2009
Gardener of Eden,88.0,2007
Irma Vep,99.0,1996
The Break-up Artist,105.0,2009
Katt Williams: Live,86.0,2006
Jack the Giant Killer,94.0,1962
Thunderbird 6,89.0,1968
Ace in the Hole,111.0,1951
Methadonia,87.0,2005
A Cry in the Wild,82.0,1990
The Secret in Their Eyes,129.0,2009
Paintball,90.0,2009
The Blue Butterfly,97.0,2004
Night Passage,90.0,1957
Tobruk,107.0,1967
The 39 Steps,93.0,1959
March or Die,107.0,1977
Matinee,99.0,1993
Cyborg 3: The Recycler,90.0,1995
Destination Moon,91.0,1950
Blood Trails,87.0,2006
Dear Diary,100.0,1993
Taking Chance,77.0,2009
Riff-Raff,80.0,1947
The Suspect,85.0,1944
Kung Fu Killer,93.0,2008
Drunken Tai Chi,91.0,1984
Coronado,84.0,2003
I Love Your Work,111.0,2003
All the King's Men,109.0,1949
Adam's Rib,101.0,1949
The Home Song Stories,103.0,2007
Treed Murray,90.0,2001
Trick or Treat,98.0,1986
Widows' Peak,101.0,1994
Never a Dull Moment,99.0,1968
The Happiest Millionaire,172.0,1967
Tapeheads,93.0,1988
Ratko: The Dictator's Son,82.0,2009
Taking Chances,100.0,2009
Return to Sender,109.0,2004
Raising Victor Vargas,88.0,2002
Two Can Play That Game,90.0,2001
Mutant Action,94.0,1993
Before I Self Destruct,79.0,2009
My Dinner with André,110.0,1981
The King of Masks,91.0,1997
Merry Madagascar,30.0,2009
Walking Tall,125.0,1973
Accident,89.0,2009
Tinker Bell and the Lost Treasure,81.0,2009
Scum,98.0,1979
Lolita's Club,0.0,2007
Our Man in Havana,111.0,1959
Stormy Monday,93.0,1988
"Just Let It Go, Friends",132.0,1983
Red Lights,105.0,2004
"After Dark, My Sweet",114.0,1990
Deception,110.0,1946
Impact,111.0,1949
Shock Corridor,101.0,1963
Slightly Scarlet,99.0,1956
The Get-Away,89.0,1941
Cat People,73.0,1942
The Bribe,98.0,1949
Jannat,0.0,2008
Jeanne and the Perfect Guy,93.0,1998
Koi... Mil Gaya,171.0,2003
The Gospel,105.0,2005
La Belle verte,99.0,1996
Pardes,191.0,1997
The House of Mirth,140.0,2000
Lensman,107.0,1984
The Ron Clark Story,90.0,2006
American Ninja 4: The Annihilation,99.0,1990
First on the Moon,75.0,2005
Chronicle of an Escape,103.0,2006
PTU,88.0,2003
Yi Yi,173.0,2000
Winners & Sinners,108.0,1983
Brotherhood,90.0,2009
Shadow on the Wall,84.0,1950
Split Second,85.0,1953
The Sellout,83.0,1952
The Sniper,88.0,1952
Dark of the Sun,100.0,1968
The Land Before Time IX: Journey to the Big Water,71.0,2002
The Puppet Masters,109.0,1994
The Taming of the Shrew,122.0,1967
Soapdish,97.0,1991
Marked Woman,96.0,1937
Appointment with Danger,89.0,1951
Ragtime,155.0,1981
The Dream Is Alive,37.0,1985
Drive,100.0,1997
American Drug War: The Last White Hope,118.0,2007
Wonderful and Loved by All,106.0,2007
Every Other Week,97.0,2006
The Land Before Time VIII: The Big Freeze,75.0,2001
Wrong Turn at Tahoe,91.0,2009
Hansel & Gretel,117.0,2007
The Indian Runner,127.0,1991
Way Out West,64.0,1937
Ninja,83.0,2009
Russell Howard Live: Dingledodies,77.0,2009
White Collar Blues,108.0,1975
April's Shower,98.0,2003
The Tommyknockers,181.0,1993
Decasia,67.0,2002
House,88.0,1977
Rosewood,140.0,1997
Multiple Maniacs,90.0,1970
The Founding of a Republic,138.0,2009
The Living Dead at Manchester Morgue,95.0,1974
Hawk the Slayer,90.0,1980
Kurt Cobain: About a Son,96.0,2006
Party Girl,99.0,1958
Jesus' Son,107.0,1999
Laaga Chunari Mein Daag - Journey of A Woman,137.0,2007
My First Mister,109.0,2001
Love Happens,109.0,2009
Wing Chun,93.0,1994
Death Warrior,90.0,2009
Breath,84.0,2007
Time,97.0,2006
Bad Guy,100.0,2002
Address Unknown,117.0,2001
Real Fiction,82.0,2000
Crocodile,102.0,1996
Wild Animals,105.0,1997
Triad Wars,112.0,2008
Glasses,106.0,2007
Kamome Diner,102.0,2006
"Fine, Totally Fine",110.0,2008
Nowhere to Hide,112.0,1999
Throw Down,95.0,2004
Frog Dreaming,93.0,1986
Little Moscow,114.0,2008
Foreign Correspondent,120.0,1940
Hollow Triumph,83.0,1948
A Place in the Sun,122.0,1951
Shout,89.0,1991
Rob-B-Hood,126.0,2006
American Ninja 2: The Confrontation,90.0,1987
The Friends of Eddie Coyle,102.0,1973
American Ninja 3: Blood Hunt,89.0,1989
American Ninja 5,102.0,1993
Pitfall,86.0,1948
The Blackout,98.0,1997
Albino Farm,85.0,2009
Alice in Wonderland,76.0,1933
Treeless Mountain,89.0,2009
Getting Away with Murder,91.0,1996
In the Good Old Summertime,102.0,1949
The Man on the Roof,110.0,1976
Ryan and Sean's Not So Excellent Adventure,78.0,2008
Post Grad,89.0,2009
Brain Smasher... A Love Story,88.0,1993
Dot.Kill,87.0,2005
Animals,88.0,2008
Crows Zero II,133.0,2009
Shooting Fish,109.0,1997
The Whistle Blower,100.0,1986
The Unholy Wife,94.0,1957
Overnight Delivery,87.0,1998
The Girls Rebel Force of Competitive Swimmers,78.0,2007
The Mob,87.0,1951
The Gangster,84.0,1947
The Postman Always Rings Twice,113.0,1946
He Ran All The Way,77.0,1951
L'associé,94.0,1979
"Buy the Ticket, Take the Ride",73.0,2006
The Flight Before Christmas,80.0,2008
A Slit-Mouthed Woman,90.0,2007
The Gamers,48.0,2002
Kabei: Our Mother,133.0,2008
Beautiful,88.0,2008
Children of the Corn II: The Final Sacrifice,92.0,1993
Children of the Corn III: Urban Harvest,92.0,1995
Children of the Corn IV: The Gathering,85.0,1996
Children of the Corn V: Fields of Terror,83.0,1998
Children of the Corn 666: Isaac's Return,82.0,1999
Children of the Corn: Revelation,82.0,2001
Children of the Corn,92.0,2009
Citizen Dog,100.0,2004
Clownhouse,81.0,1989
Comic Book: The Movie,106.0,2004
Damnation Alley,91.0,1977
Dasepo Naughty Girls,103.0,2006
The Grass Is Greener,104.0,1960
"Steamboat Bill, Jr.",70.0,1928
Carriers,84.0,2009
The Paleface,20.0,1922
Pink Floyd: Live at Pompeii,85.0,1972
Lethal Angels,83.0,2006
The Chosen,105.0,1981
Fados,90.0,2007
Felicity: An American Girl Adventure,86.0,2005
A Raisin in the Sun,131.0,2008
Comandante,99.0,2003
Journey from the Fall,135.0,2006
Samantha: An American Girl Holiday,86.0,2004
One Girl's Confession,74.0,1953
Aftershock: Earthquake in New York,170.0,1999
Precious,110.0,2009
Thieves,105.0,2007
That Old Feeling,105.0,1997
Miss Minoes,86.0,2001
Amu,102.0,2005
Aamdani Atthanni Kharcha Rupaiya,141.0,2001
Amal,101.0,2007
Red Light,83.0,1949
The Prince and the Pauper,25.0,1990
Aria,90.0,1987
Eating Out: All You Can Eat,80.0,2009
Xtro,83.0,1982
Devils on the Doorstep,139.0,2000
A Christmas Carol,69.0,1938
Karas: The Prophecy,90.0,2005
Baarìa,150.0,2009
Legend of the Lost,109.0,1957
Nothing Like the Holidays,98.0,2008
Dahmer,101.0,2002
Raging Phoenix,112.0,2009
Drunken Angel,98.0,1948
Blues in the Night,88.0,1941
The Sucker,111.0,1965
De Dana Dan,166.0,2009
Aladin,132.0,2009
Salaam-E-Ishq,216.0,2007
The Pirate Movie,98.0,1982
The Illustrated Man,103.0,1969
Silk,108.0,2006
The Racket,88.0,1951
Feds,90.0,1988
Looking for Comedy in the Muslim World,98.0,2005
The Seven Little Foys,93.0,1955
Above Suspicion,90.0,1943
Coming Soon,96.0,1999
Babes in Toyland,73.0,1934
Tension,95.0,1949
Just Sex and Nothing Else,97.0,2005
Marie and Bruce,90.0,2004
Marketa Lazarová,162.0,1967
The Shop on Main Street,128.0,1965
The Valley of the Bees,97.0,1968
Balto II: Wolf Quest,75.0,2002
The Fastest Gun Alive,89.0,1956
Shockproof,79.0,1949
Champion,99.0,1949
Great World of Sound,106.0,2007
Garage Days,105.0,2002
Three Days,93.0,2008
Who's the Man?,85.0,1993
Mind Meld: Secrets Behind the Voyage of a Lifetime,75.0,2001
Staten Island,96.0,2009
"To Sir, with Love",105.0,1967
The Reckoning,112.0,2003
Radio Day,100.0,2008
Passenger,62.0,1963
Harry Brown,103.0,2009
Almost an Angel,95.0,1990
Blood for Dracula,103.0,1974
Mysterious Island,172.0,2005
Bullet Ballet,98.0,1998
Conquest of Space,81.0,1955
Radar Secret Service,59.0,1950
Pickup on South Street,80.0,1953
Secuestro Express,86.0,2005
Pokémon: The Rise of Darkrai,90.0,2007
Isolation,95.0,2005
Veronika Decides to Die,103.0,2009
Angus,90.0,1995
I Married a Witch,77.0,1942
What Love Is,93.0,2007
My Date with Drew,90.0,2005
Showdown at Area 51,96.0,2007
The House of the Devil,95.0,2009
Jump Tomorrow,97.0,2001
The Sleeping Dictionary,109.0,2003
Asylum,88.0,1972
The Winter Guest,108.0,1997
Men Behind the Sun,105.0,1988
Made in Hong Kong,104.0,1997
Scandal Sheet,82.0,1952
Legendary Assassin,89.0,2008
Hard Ticket to Hawaii,96.0,1987
Good Advice,93.0,2001
Don't Be Afraid of the Dark,74.0,1973
Kathy Griffin: She'll Cut a Bitch,44.0,2009
Food Matters,74.0,2010
My Name Is Khan,145.0,2010
Jimi Plays Monterey,50.0,1986
Bob le Flambeur,98.0,1956
The Naked Kiss,93.0,1964
Make the Yuletide Gay,89.0,2009
According to Greta,92.0,2009
Bigger Than Life,95.0,1956
Call Northside 777,111.0,1948
Point Blank,92.0,1967
Haze,49.0,2005
Warlock III: The End of Innocence,94.0,1999
Arthur 2: On the Rocks,113.0,1988
Snipes,113.0,2001
Mean Guns,110.0,1997
Stage Beauty,106.0,2004
More About the Children of Noisy Village,89.0,1987
Operation Thunderbolt,124.0,1977
Jesse Stone: Sea Change,88.0,2007
The Mechanik,94.0,2005
Dylan Moran: What It Is,76.0,2009
Chato's Land,110.0,1972
Moon Zero Two,100.0,1969
American Pie Presents: The Book of Love,93.0,2009
Face,105.0,1997
The Defender,90.0,2004
Disco Pigs,93.0,2001
Joshua Tree,106.0,1993
Storm Catcher,95.0,1999
Summer Time Machine Blues,107.0,2005
Straight From the Heart,100.0,2003
Tuesdays with Morrie,89.0,1999
Electric Shadows,93.0,2004
Duelist,111.0,2005
Stewart Lee: Stand-Up Comedian,78.0,2005
Fatal Instinct,91.0,1993
The Doctor,122.0,1991
My Wrongs 8245-8249 And 117,12.0,2002
FC Venus,107.0,2005
Music of the Heart,124.0,1999
Erreur de la banque en votre faveur,98.0,2009
God Tussi Great Ho,152.0,2008
The Invisible Boy,90.0,1957
Hiding Out,98.0,1987
Around the World Under the Sea,110.0,1966
The Bat Whispers,83.0,1930
Mad Love,115.0,2001
Crack-Up,96.0,1946
Raw Deal,79.0,1948
Slingshot,90.0,2005
Coogan's Bluff,93.0,1968
Everybody's Fine,99.0,2009
Messenger of Death,91.0,1988
Mr. Majestyk,103.0,1974
T-Men,92.0,1947
Ivanhoe,106.0,1952
"Mother, Jugs & Speed",95.0,1976
Annie,90.0,1999
Razorback,95.0,1984
Oh Heavenly Dog,103.0,1980
Excess Baggage,101.0,1997
Some Girls Do,88.0,1969
The Big Store,83.0,1941
McQ,111.0,1974
Hot Millions,106.0,1968
Get a Clue,83.0,2002
Carry On Cruising,89.0,1962
35 Shots of Rum,100.0,2009
The Secret Lives of Dentists,104.0,2002
The Keep,96.0,1983
The Liquidator,105.0,1965
The Nude Bomb,94.0,1980
The Sea Hawk,127.0,1940
Blink,106.0,1994
Tony Rome,110.0,1967
The Desert Fox: The Story of Rommel,88.0,1951
Quicksilver Highway,90.0,1997
The Canyon,102.0,2009
Ash Wednesday,99.0,2002
Class of Nuke 'Em High 2: Subhumanoid Meltdown,90.0,1991
Viva Cuba,93.0,2005
April Fool's Day,91.0,2008
10 Rillington Place,106.0,1971
The Gamers: Dorkness Rising,105.0,2008
Park Row,83.0,1952
Fallen Angel,98.0,1945
Phish: Bittersweet Motel,82.0,2000
Dark Prince: The True Story of Dracula,92.0,2000
Incident at Oglala,89.0,1992
Wanda Sykes: I'ma Be Me,90.0,2009
Wanda Sykes: Sick and Tired,70.0,2006
Pépé le Moko,94.0,1937
The Hunting of the President,90.0,2004
Love Potion No. 9,97.0,1992
Bushwhacked,90.0,1995
Come Drink with Me,91.0,1966
Cops & Robbersons,93.0,1994
Death Wish 4: The Crackdown,99.0,1987
George of the Jungle 2,87.0,2003
Spymate,81.0,2006
Now You See It...,96.0,2005
Harper,121.0,1966
Twilight,94.0,1998
Project Moon Base,63.0,1953
Live Nude Girls,95.0,1995
Kamikaze Girls,102.0,2004
Mujhse Dosti Karoge!,149.0,2002
Quatermass II,85.0,1957
I Killed My Mother,96.0,2009
Macao,81.0,1952
The Las Vegas Story,88.0,1952
Fantozzi Still Suffers,85.0,1983
Dragonwyck,103.0,1946
Me Without You,107.0,2001
Shakes the Clown,87.0,1991
Hurt,96.0,2009
Un maledetto imbroglio,115.0,1959
Here and Elsewhere,53.0,1976
Clambake,100.0,1967
Fist of the North Star,103.0,1995
The Hunt for the BTK Killer,82.0,2005
The Color of Pomegranates,79.0,1969
Prefontaine,106.0,1997
"Job, czyli ostatnia szara komórka",95.0,2006
Mosquito Squadron,86.0,1969
Man with a Movie Camera,68.0,1929
The Man Who Came to Dinner,112.0,1942
Taking Woodstock,120.0,2009
Bordertown,90.0,1935
"Tarzan, the Ape Man",107.0,1981
Rock 'n' Roll High School,93.0,1979
Carry On Girls,88.0,1973
The Last of Sheila,120.0,1973
Electra Glide in Blue,114.0,1973
Untamed Heart,102.0,1993
Run Bitch Run,90.0,2009
Crazy Love,92.0,2007
China Moon,99.0,1994
Delta Force 3: The Killing Game,97.0,1991
The Terminators,89.0,2009
Our Music,80.0,2004
Perestroika,97.0,2009
Israel: Birth of a Nation,100.0,1995
A Low Down Dirty Shame,100.0,1994
Surfwise,93.0,2007
For Keeps,98.0,1988
Medea,118.0,1969
To Trap a Spy,92.0,1964
Phoenix,90.0,1995
Depeche Mode: 101,117.0,1989
Ellen DeGeneres: The Beginning,66.0,2000
I Can Do Bad All By Myself,113.0,2009
Spring and Chaos,55.0,1996
Cannibal Women in the Avocado Jungle of Death,90.0,1989
638 Ways to Kill Castro,78.0,2006
Maurice,134.0,1987
Shame,103.0,1968
Castle on the Hudson,77.0,1940
They Made Me a Criminal,92.0,1939
Paa,133.0,2009
Out of the Fog,85.0,1941
Christmas Town,90.0,2008
Walk a Crooked Mile,91.0,1948
Ernest Saves Christmas,95.0,1988
Night Has a Thousand Eyes,81.0,1948
Buried,94.0,2010
From Paris with Love,92.0,2010
Brooklyn's Finest,133.0,2009
Cabin Boy,80.0,1994
Breaking Up,90.0,1997
The Civil War,680.0,1990
At the Earth's Core,90.0,1976
Wake in Fright,114.0,1971
The War Room,96.0,1993
